like1,para,parb,parc,pard,parm,chain
0.42883244,0.05006728,1.1548275,0.5740788,0.52501225,0.52583164,0.0
0.53367144,0.26407138,7.7964215,0.0007028096,0.87053657,0.6852851,0.0
0.5397428,0.3012203,5.675585,0.48439875,0.4669912,0.7641789,0.0
-0.122352466,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,0.0
0.40779692,0.80432016,6.2214403,0.20711102,0.406596,0.795074,0.0
0.42300743,0.766403,6.750465,0.22928412,0.5860515,0.8779412,0.0
0.40771604,0.41183716,2.5317268,0.61164886,0.7070903,0.7620336,0.0
0.32877728,0.34131175,4.839973,0.0013210633,0.06542045,0.019425618,0.0
0.3666971,0.6551909,3.7348394,0.5116408,0.83321935,0.87041444,0.0
0.35400498,0.97643787,7.6115327,0.5764282,0.46992952,0.37846085,0.0
0.06821583,0.7508944,1.3644185,0.20532855,0.9619045,0.93196994,0.0
0.607705,0.6008584,4.4364624,0.69077647,0.9988768,0.2478446,0.0
0.7395098,0.11084971,5.725322,0.99623454,0.04793473,0.8172581,0.0
0.48193765,0.50003356,1.3373414,0.44872886,0.98218685,0.20375699,0.0
0.6900998,0.18445411,7.0585456,0.08023778,0.08516686,0.2849929,0.0
0.4810879,0.23613755,4.3682337,0.54764587,0.14103371,0.92998385,0.0
0.32868153,0.5088352,2.8005404,0.41150895,0.34831855,0.9279182,0.0
0.0050305827,0.01460624,7.19536,0.41189104,0.7064618,0.0059209606,0.0
0.72682667,0.025723185,7.1131625,0.93718535,0.356819,0.34654045,0.0
0.6370075,0.18711701,7.8189425,0.16853571,0.85137177,0.051871967,0.0
0.5266706,0.59099615,6.8249226,0.4371406,0.04124856,0.8281716,0.0
0.4723563,0.49964166,1.6099399,0.78093535,0.15442754,0.5115935,0.0
0.37478322,0.228105,1.7133933,0.19394676,0.8845127,0.6405131,0.0
0.6910308,0.06866922,6.5407963,0.30488092,0.56585217,0.3254758,0.0
