like1,para,parb,parc,pard,parm,chain
0.23534948,0.05006728,1.1548275,0.5740788,0.52501225,0.52583164,0.0
0.27085453,0.26407138,7.7964215,0.0007028096,0.87053657,0.6852851,0.0
0.22626877,0.3012203,5.675585,0.48439875,0.4669912,0.7641789,0.0
-0.11921541,0.9546346,1.4352901,0.30040735,0.82079875,0.36987907,0.0
0.10844428,0.80432016,6.2214403,0.20711102,0.406596,0.795074,0.0
0.1370524,0.766403,6.750465,0.22928412,0.5860515,0.8779412,0.0
0.18229172,0.41183716,2.5317268,0.61164886,0.7070903,0.7620336,0.0
0.26183867,0.34131175,4.839973,0.0013210633,0.06542045,0.019425618,0.0
0.11971882,0.6551909,3.7348394,0.5116408,0.83321935,0.87041444,0.0
0.011212951,0.97643787,7.6115327,0.5764282,0.46992952,0.37846085,0.0
0.17028737,0.7508944,1.3644185,0.20532855,0.9619045,0.93196994,0.0
0.15054281,0.6008584,4.4364624,0.69077647,0.9988768,0.2478446,0.0
0.62842214,0.11084971,5.725322,0.99623454,0.04793473,0.8172581,0.0
0.2502213,0.50003356,1.3373414,0.44872886,0.98218685,0.20375699,0.0
0.2683006,0.18445411,7.0585456,0.08023778,0.08516686,0.2849929,0.0
0.22333112,0.23613755,4.3682337,0.54764587,0.14103371,0.92998385,0.0
0.13655455,0.5088352,2.8005404,0.41150895,0.34831855,0.9279182,0.0
0.27522853,0.01460624,7.19536,0.41189104,0.7064618,0.0059209606,0.0
0.32032174,0.025723185,7.1131625,0.93718535,0.356819,0.34654045,0.0
0.27144623,0.18711701,7.8189425,0.16853571,0.85137177,0.051871967,0.0
0.2404574,0.59099615,6.8249226,0.4371406,0.04124856,0.8281716,0.0
0.0960675,0.49964166,1.6099399,0.78093535,0.15442754,0.5115935,0.0
0.36680782,0.228105,1.7133933,0.19394676,0.8845127,0.6405131,0.0
0.27324322,0.06866922,6.5407963,0.30488092,0.56585217,0.3254758,0.0
0.255336,0.10247724,4.9448094,0.20701037,0.14679238,0.77543664,0.0
0.6130155,0.53834367,0.15970345,0.0011060161,0.29498383,0.31418982,0.0
0.1928602,0.21283075,3.1237566,0.96625465,0.5680425,0.034291,0.0
0.25226477,0.15228693,5.6632414,0.6728514,0.8219802,0.71594596,0.0
0.36392805,0.06951889,3.6893828,0.9557429,0.13659999,0.9567318,0.0
0.26818097,0.5635765,4.513654,0.9253919,0.2483466,0.9095626,0.0
0.2265343,0.44837323,4.2129307,0.121894814,0.86369556,0.2516544,0.0
-0.02566634,0.5509607,0.45487657,0.5309682,0.21936253,0.48098734,0.0
0.22903277,0.26614228,0.04135089,0.5296948,0.2861536,0.6638923,0.0
0.5256058,0.29735145,0.52737206,0.037840564,0.5359612,0.5665095,0.0
0.22286418,0.32496884,5.65086,0.5352835,0.52582014,0.48837608,0.0
0.16802,0.726761,4.7861876,0.9809915,0.5074154,0.026079474,0.0
0.17444928,0.29272354,3.1931407,0.57859683,0.27112615,0.299909,0.0
0.2027817,0.56190985,6.982348,0.005648816,0.5143827,0.43041253,0.0
0.20638786,0.8535063,5.615054,0.63190585,0.05087766,0.51164705,0.0
0.22869574,0.3948516,6.564271,0.37180567,0.85314894,0.612306,0.0
0.14170708,0.8244612,3.2663136,0.6760524,0.022102842,0.09174191,0.0
-0.14031717,0.94618064,3.929211,0.6229091,0.9280188,0.56745785,0.0
0.27511153,0.4891097,0.093677774,0.89806485,0.89415777,0.7589376,0.0
0.09042775,0.7567346,4.5628505,0.20406258,0.896761,0.5807905,0.0
0.20013066,0.42943367,4.5356126,0.6400935,0.935911,0.6267637,0.0
-0.032725565,0.88883924,1.4122273,0.39459783,0.90156657,0.01243693,0.0
0.26919308,0.18997525,7.4034324,0.06884499,0.10684123,0.11933356,0.0
0.3008512,0.12091064,5.03608,0.13442774,0.9030946,0.7354292,0.0
0.2535432,0.24347672,6.9024744,0.2334428,0.49239486,0.3608684,0.0
0.26678202,0.29052728,4.0697384,0.17613375,0.79632634,0.96021587,0.0
0.28188807,0.06237099,6.160518,0.30792305,0.75433755,0.8465286,0.0
