like1,para,parb,parc,pard,parm,chain
-0.02864844,0.23949134,4.545495,0.95587796,0.24235085,0.5501069,0.0
-0.4937222,0.5814377,0.6916846,0.4749982,0.1639001,0.8147766,1.0
-0.39631948,0.46341294,1.6878104,0.55645204,0.4134275,0.55467564,2.0
-0.48442367,0.74800515,1.9210396,0.27590576,0.54916734,0.100557275,3.0
-0.20177138,0.64141595,6.7516885,0.5265287,0.72280353,0.91369045,4.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,5.0
-0.4703035,0.4082666,0.6823472,0.47100148,0.81117636,0.75984555,6.0
-0.67347705,0.96209836,0.8228304,0.58124524,0.23781721,0.99661297,7.0
-0.13067642,0.76251906,4.8591237,0.9676778,0.49427983,0.0529196,8.0
-0.30430308,0.69016814,3.5875032,0.5453866,0.50150704,0.444405,9.0
-0.45235133,0.64141595,1.9210396,0.27590576,0.54916734,0.100557275,3.0
-0.42332435,0.46341294,1.6878104,0.5265287,0.72280353,0.91369045,7.0
-0.39474142,0.0765955,0.8228304,0.58124524,0.23781721,0.99661297,3.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,5.0
-0.67347705,0.96209836,0.8228304,0.58124524,0.23781721,0.99661297,8.0
-0.67347705,0.96209836,0.8228304,0.58124524,0.23781721,0.99661297,4.0
-0.67347705,0.96209836,0.8228304,0.58124524,0.23781721,0.99661297,5.0
-0.7230815,0.96209836,0.8228304,0.25313634,0.6137221,0.65434945,5.0
-0.10153045,0.0765955,7.249467,0.9676778,0.49427983,0.0529196,0.0
-0.13211635,0.74800515,4.8591237,0.9676778,0.49427983,0.0529196,2.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,4.0
-0.48741588,0.74800515,1.9210396,0.25313634,0.6137221,0.65434945,9.0
-0.48741588,0.74800515,1.9210396,0.25313634,0.6137221,0.65434945,5.0
-0.21289624,0.23949134,4.545495,0.95587796,0.6137221,0.65434945,8.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,9.0
-0.16842918,0.0765955,4.8591237,0.9676778,0.49427983,0.0529196,6.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,7.0
-0.16842918,0.0765955,4.8591237,0.9676778,0.49427983,0.0529196,6.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,3.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,3.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,9.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,5.0
-0.4937222,0.5814377,0.6916846,0.4749982,0.1639001,0.8147766,9.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,8.0
-0.23181012,0.0765955,7.249467,0.25313634,0.6137221,0.8147766,6.0
-0.17766292,0.23949134,4.545495,0.95587796,0.49427983,0.0529196,4.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,5.0
-0.2319264,0.0765955,7.249467,0.25313634,0.6137221,0.65434945,6.0
-0.48741588,0.74800515,1.9210396,0.25313634,0.6137221,0.65434945,2.0
-0.23181012,0.0765955,7.249467,0.25313634,0.6137221,0.8147766,8.0
-0.16321483,0.23949134,4.8591237,0.9676778,0.49427983,0.0529196,6.0
-0.22734024,0.0765955,7.249467,0.25313634,0.49427983,0.0529196,3.0
-0.14592859,0.5814377,4.8591237,0.9676778,0.49427983,0.0529196,2.0
-0.48741588,0.74800515,1.9210396,0.25313634,0.6137221,0.65434945,6.0
-0.48741588,0.74800515,1.9210396,0.25313634,0.6137221,0.65434945,9.0
-0.21289624,0.23949134,4.545495,0.95587796,0.6137221,0.65434945,4.0
